fips,state,year,race,ent,perm,nperm,stock,invest,pop,ent_rate,perm_rate,nperm_rate,stock_rate,invest_rate,ent_rate_adj,stock_rate_adj,invest_rate_adj
1,Alabama,2000,total,2661,1958,209,5621,,1122273,2.37108083327319,348.336594911937,37.1819960861057,5.00858525510281,,2.09388111642727,4.70884306184464,
1,Alabama,2000,white,1362,1016,86,2449,,718603,1.89534416082315,414.863209473254,35.1163740302164,3.40800135819082,,1.7063229357444,3.22944482759096,
1,Alabama,2000,black,1226,910,120,3070,,362899,3.37835045012524,296.416938110749,39.0879478827362,8.45965406352732,,2.93139239802295,7.89845399369909,
1,Alabama,2000,aapi,2,0,0,2,,8917,0.224290680722216,0,0,0.224290680722216,,0.226468136591222,0.219857950102961,
1,Alabama,2000,aian,1,0,2,8,,6727,0.148654675189535,0,250,1.18923740151628,,0.130857045710164,1.15567192112394,
1,Alabama,2000,hispanic,39,22,1,53,,25127,1.5521152545071,415.094339622642,18.8679245283019,2.10928483304812,,1.31192015124441,1.96871549863329,
2,Alaska,2000,total,1096,863,49,2193,,190615,5.74980982608924,393.524851801186,22.34382124943,11.5048658290271,,5.34165624066967,11.3844921248606,
2,Alaska,2000,white,311,290,19,594,,119813,2.59571165065561,488.215488215488,31.986531986532,4.95772578935508,,2.44667861448209,4.81520116258294,
2,Alaska,2000,black,92,68,6,216,,9528,9.65575146935348,314.814814814815,27.7777777777778,22.6700251889169,,8.03229895754301,22.1288594221976,
2,Alaska,2000,aapi,5,4,0,20,,9419,0.53084191527763,200,0,2.12336766111052,,0.521940336239297,2.03710188887881,
2,Alaska,2000,aian,629,445,23,1266,,41557,15.1358375243641,351.500789889415,18.1674565560822,30.4641817263036,,14.2795524615559,30.4440982257633,
2,Alaska,2000,hispanic,16,22,0,38,,10298,1.55369974752379,578.947368421053,0,3.690036900369,,1.43825742280173,3.82111697426473,
4,Arizona,2000,total,4644,4585,471,6475,,1373414,3.38135478450052,708.108108108108,72.7413127413128,4.71452890388477,,3.04675497332318,4.65090328726338,
4,Arizona,2000,white,2248,2293,260,3035,,699120,3.21547087767479,755.518945634267,85.667215815486,4.34117175878247,,2.93081318922111,4.23618400101193,
4,Arizona,2000,black,421,421,58,800,,55659,7.56391598842954,526.25,72.5,14.3732370326452,,7.07118438276952,14.4255545181762,
4,Arizona,2000,aapi,4,5,1,2,,25699,0.155648079691817,2500,500,0.0778240398459084,,0.144666277115989,0.0752828843127113,
